Latitude,Longitude,Area Type,Soil Type,Water Sources,Previous Crop,Land Acres,Cropping Type,Crop Category,Crop,Duration (Days),Investment (₹),Profit (₹)
23.56,85.18,Hilly,Inceptisol,Rainfed,Wheat,2.2,Short-term,Pulses,Pigeon Pea,115,12611,33152
24.43,85.49,Plain,Red Soil,Rainfed,Mango+Lentil,2.6,Perennial,Cash Crops,Tobacco,268,49060,139753
24.1,84.13,Plateau,Entisol,Irrigated,Maize+Mustard,3.2,Short-term,Pulses,Pigeon Pea,110,19739,64646
23.9,85.06,Hilly,Laterite,Rainfed,Sorghum,3.1,Long-term,Vegetables,Brinjal,132,27522,59553
23.23,84.93,Plain,Alfisol,Irrigated,Jackfruit,0.7,Perennial,Fruits,Banana,347,19904,66729
23.23,85.58,Plateau,Entisol,Rainfed,Wheat,3.9,Long-term,Vegetables,Tomato,123,22003,84233
23.09,85.77,Hilly,Inceptisol,Rainfed,Papaya,4.8,Mixed,Agroforestry,Rice+Lentil,217,29251,109527
24.3,83.53,Plain,Alfisol,Irrigated,Wheat,2.1,Mixed,Agroforestry,Banana+Pea,358,33472,109676
23.9,85.19,Hilly,Laterite,Irrigated,Cotton,1.3,Perennial,Fruits,Mango,263,38949,143962
24.06,83.63,Plain,Red Soil,Rainfed,Mango,2.9,Perennial,Cash Crops,Coffee,210,42360,167502
23.03,84.87,Plateau,Entisol,Rainfed,Rice+Lentil,3.7,Long-term,Cereals,Maize,128,19205,60846
24.45,84.22,Plateau,Laterite,Irrigated,Tobacco,3.6,Long-term,Vegetables,Cabbage,147,17212,48274
24.25,84.27,Plateau,Entisol,Rainfed,Sesame,3.3,Long-term,Oilseeds,Sesame,128,29780,87066
23.32,84.38,Hilly,Inceptisol,Rainfed,Tea,1.2,Long-term,Cereals,Rice,164,16358,42150
23.27,85.05,Hilly,Laterite,Irrigated,Niger,4.3,Short-term,Pulses,Green Gram,106,16391,47317
23.28,84.34,Plateau,Entisol,Rainfed,Mango,2.4,Long-term,Cereals,Sorghum,124,17129,65043
23.46,85.33,Plain,Alfisol,Irrigated,Tomato,1.5,Long-term,Vegetables,Cabbage,125,10704,27133
23.79,84.51,Hilly,Inceptisol,Irrigated,Potato,0.9,Short-term,Pulses,Pigeon Pea,87,15385,58154
23.65,83.67,Hilly,Inceptisol,Irrigated,Brinjal,2.4,Short-term,Pulses,Lentil,81,18643,50053
23.44,85.46,Plain,Alfisol,Irrigated,Guava,3.3,Short-term,Pulses,Pea,89,7762,21041
23.92,84.21,Hilly,Laterite,Irrigated,Onion,3.5,Short-term,Pulses,Green Gram,83,13422,27238
23.21,84.58,Plateau,Laterite,Irrigated,Litchi,4.8,Perennial,Cash Crops,Tobacco,344,63915,181610
23.44,85.21,Plateau,Laterite,Canal,Mango,1.2,Perennial,Fruits,Guava,275,20933,48498
23.55,84.33,Plain,Alfisol,Rainfed,Cotton,4.9,Long-term,Vegetables,Cabbage,131,13589,38790
23.68,83.64,Plain,Alfisol,Rainfed,Gram,3.4,Short-term,Vegetables,Tomato,81,20015,75774
24.18,84.43,Plain,Alfisol,Irrigated,Niger,2.5,Long-term,Vegetables,Cabbage,137,25526,97224
23.3,85.86,Plateau,Entisol,Irrigated,Mango+Lentil,4.5,Perennial,Cash Crops,Sugarcane,222,81166,246149
23.77,85.1,Plain,Alfisol,Rainfed,Ladyfinger,3.6,Long-term,Cereals,Rice,157,5699,15490
23.89,85.18,Plateau,Entisol,Canal,Banana,2.1,Long-term,Cash Crops,Jute,174,83252,295155
23.07,85.08,Plain,Red Soil,Rainfed,Sorghum,4.5,Perennial,Cash Crops,Sugarcane,277,48672,101100
23.91,84.0,Hilly,Inceptisol,Irrigated,Litchi,3.5,Perennial,Cash Crops,Cotton,292,78151,190349
23.26,84.55,Plain,Red Soil,Irrigated,Groundnut,3.6,Short-term,Oilseeds,Niger,112,11212,41394
23.1,85.38,Plateau,Entisol,Tube-well,Pea,4.5,Long-term,Cereals,Rice,139,12228,36986
24.42,83.75,Plain,Red Soil,Rainfed,Tobacco,2.5,Perennial,Fruits,Guava,306,33124,99291
24.45,84.19,Hilly,Inceptisol,Irrigated,Pea,3.5,Mixed,Agroforestry,Mango+Lentil,346,74424,215193
24.21,84.19,Plain,Red Soil,Rainfed,Lentil,3.9,Mixed,Agroforestry,Timber+Paddy,339,35362,70760
23.46,84.58,Plateau,Laterite,Rainfed,Rice+Lentil,2.5,Long-term,Oilseeds,Groundnut,125,18273,61576
23.15,85.95,Plateau,Entisol,Rainfed,Tea,0.9,Long-term,Vegetables,Cauliflower,122,19403,53843
24.03,83.67,Plain,Alfisol,Irrigated,Tea,4.0,Short-term,Pulses,Green Gram,119,5151,19093
23.66,84.8,Plateau,Laterite,Rainfed,Niger,0.7,Long-term,Oilseeds,Mustard,129,26642,69899
23.18,83.95,Hilly,Inceptisol,Rainfed,Niger,3.7,Perennial,Cash Crops,Cotton,260,49152,164411
23.74,85.93,Plain,Alfisol,Irrigated,Black Gram,4.6,Short-term,Oilseeds,Sunflower,102,20232,53681
23.05,83.78,Hilly,Inceptisol,Irrigated,Green Gram,2.1,Short-term,Pulses,Lentil,117,17273,39697
24.36,84.51,Plain,Red Soil,Irrigated,Onion,1.0,Mixed,Agroforestry,Banana+Pea,197,68830,150793
23.39,85.34,Plateau,Entisol,Tube-well,Tea,1.5,Short-term,Pulses,Black Gram,101,14145,42647
23.99,85.26,Plateau,Laterite,Rainfed,Onion,3.0,Short-term,Pulses,Lentil,94,9261,36930
23.47,84.56,Plain,Red Soil,Tube-well,Banana,4.7,Short-term,Pulses,Gram,80,10453,22733
23.78,84.37,Hilly,Inceptisol,Canal,Timber+Paddy,2.8,Mixed,Agroforestry,Timber+Paddy,277,22202,74543
